1.000E-01 0.500E+00 0.400E+00 8.076E+04  1.750E+05 3.000E+04 1.000E+02 1.000E+01 3.350E+02 1.000E-06 926
 1690       0.5405148183946915       0.0707672824152148
 1691       0.5753882373880188       0.0909014720220340
 1692       0.6102618112387330       0.1110357510358591
 1693       0.6451352302320603       0.1311699406426778
 1694       0.6800088040827745       0.1513042196565033
 1695       0.7148822230761018       0.1714384092633225
 1696       0.7497557969268165       0.1915726882771476
 1697       0.7846292159201433       0.2117068778839668
 1698       0.8195027897708580       0.2318411568977923
 1699       0.8543763636215722       0.2519754359116173
 1700       0.8892497826148991       0.2721096255184361
 1701       0.9241233564656137       0.2922439045322616
 1702       0.9589967754589410       0.3123780941390808
 1703       0.9938703493096552       0.3325123731529058
 1835       0.3460130245455719       0.0049695625821218
 1836       0.3808865209675929       0.0251037968924437
 1837       0.4157600173896134       0.0452380312027660
 1838       0.4506335138116340       0.0653722655130884
 1839       0.4855070102336549       0.0855064998234103
 1840       0.5203805840843696       0.1056407788372358
 1841       0.5552540030776969       0.1257749684440550
 1842       0.5901275769284107       0.1459092474578800
 1843       0.6250009959217380       0.1660434370646988
 1844       0.6598745697724526       0.1861777160785243
 1845       0.6947479887657799       0.2063119056853435
 1846       0.7296215626164941       0.2264461846991686
 1847       0.7644949816098210       0.2465803743059878
 1848       0.7993685554605356       0.2667146533198133
 1849       0.8342421293112503       0.2868489323336383
 1850       0.8691155483045767       0.3069831219404571
 1851       0.9039891221552914       0.3271174009542825
 1852       0.9388625411486187       0.3472515905611018
 1853       0.9737361149993333       0.3673858695749268
 1984       0.2910052714614775       0.0197088634081672
 1985       0.3258787678834985       0.0398430977184892
 1986       0.3607522643055190       0.0599773320288111
 1987       0.3956257607275395       0.0801115663391334
 1988       0.4304992571495605       0.1002458006494558
 1989       0.4653727535715815       0.1203800349597777
 1990       0.5002463274222957       0.1405143139736031
 1991       0.5351197464156230       0.1606485035804224
 1992       0.5699933202663372       0.1807827825942474
 1993       0.6048667392596645       0.2009169722010662
 1994       0.6397403131103787       0.2210512512148917
 1995       0.6746137321037060       0.2411854408217109
 1996       0.7094873059544202       0.2613197198355359
 1997       0.7443607249477475       0.2814539094423552
 1998       0.7792342987984622       0.3015881884561806
 1999       0.8141078726491764       0.3217224674700057
 2000       0.8489812916425032       0.3418566570768244
 2001       0.8838548654932179       0.3619909360906499
 2002       0.9187282844865452       0.3821251256974691
 2003       0.9536018583372594       0.4022594047112942
 2004       0.9884752773305867       0.4223935943181134
 2132       0.2011240443071136       0.0143138912095435
 2133       0.2359975407291346       0.0344481255198659
 2134       0.2708710371511556       0.0545823598301882
 2135       0.3057445335731761       0.0747165941405101
 2136       0.3406180299951966       0.0948508284508320
 2137       0.3754915264172176       0.1149850627611544
 2138       0.4103650228392386       0.1351192970714767
 2139       0.4452385192612596       0.1552535313817986
 2140       0.4801120931119733       0.1753878103956241
 2141       0.5149855121053006       0.1955220000024434
 2142       0.5498590859560153       0.2156562790162684
 2143       0.5847325049493426       0.2357904686230872
 2144       0.6196060788000564       0.2559247476369126
 2145       0.6544794977933837       0.2760589372437319
 2146       0.6893530716440983       0.2961932162575569
 2147       0.7242264906374256       0.3163274058643761
 2148       0.7591000644881403       0.3364616848782016
 2149       0.7939736383388540       0.3565959638920266
 2150       0.8288470573321813       0.3767301534988454
 2151       0.8637206311828960       0.3968644325126709
 2152       0.8985940501762233       0.4169986221194901
 2153       0.9334676240269371       0.4371329011333152
 2154       0.9683410430202644       0.4572670907401344
 2280       0.1112428171527498       0.0089189190109198
 2281       0.1461163135747707       0.0290531533212421
 2282       0.1809898099967917       0.0491873876315641
 2283       0.2158633064188122       0.0693216219418864
 2284       0.2507368028408328       0.0894558562522088
 2285       0.2856102992628538       0.1095900905625307
 2286       0.3204837956848747       0.1297243248728526
 2287       0.3553572921068953       0.1498585591831749
 2288       0.3902307885289158       0.1699927934934973
 2289       0.4251042849509368       0.1901270278038192
 2290       0.4599778588016514       0.2102613068176447
 2291       0.4948512777949787       0.2303954964244639
 2292       0.5297248516456925       0.2505297754382889
 2293       0.5645982706390198       0.2706639650451077
 2294       0.5994718444897345       0.2907982440589332
 2295       0.6343452634830617       0.3109324336657524
 2296       0.6692188373337760       0.3310667126795774
 2297       0.7040922563271028       0.3512009022863967
 2298       0.7389658301778175       0.3713351813002221
 2299       0.7738394040285321       0.3914694603140472
 2300       0.8087128230218585       0.4116036499208660
 2301       0.8435863968725732       0.4317379289346914
 2302       0.8784598158659005       0.4518721185415107
 2303       0.9133333897166152       0.4720063975553357
